player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
RJ Barrett,1.3,1.0,,,,real_scores
Jalen Green,3.6,1.5,,,,real_scores
Malik Monk,4.9,2.0,,,,real_scores
Scoot Henderson,1.7,2.5,,,,real_scores
Ziaire Williams,2.9,3.0,,,,real_scores
Jordan Clarkson,1.6,3.0,,,,real_scores
Bones Hyland,3.2,3.0,,,,real_scores
Nique Clifford,1.7,3.0,,,,real_scores
Ayo Dosunmu,3.6,1.4,,,,real_scores
Maxime Raynaud,3.6,1.9,,,,real_scores
Nikola Jokic,6.2,0.2,,,,leaderboard
Deni Avdija,5.0,1.8,,,,leaderboard
Cameron Johnson,3.8,1.9,,,,highest_value
Jamir Watkins,2.0,3.0,,,,leaderboard
Precious Achiuwa,2.7,3.8,,,,leaderboard
