player_name,team,actual_rs,drafts,total_value,source
Aaron Gordon,DEN,11.1,112,22.3,highest_value
Stephen Curry,GS,7.1,4100,17.7,highest_value
Aaron Wiggins,GS,3,548,14.9,highest_value
Shai Gilgeous-Alexander,OKC,7.2,7500,14.3,highest_value
Nikola Jokic,DEN,5.7,13400,11.4,highest_value
Aiay Mitchell,OKC,3.5,168,10.8,highest_value
Pascal Siakam,IND,5.3,202,10.5,highest_value
Jimmy Butler III,MIA,4.6,1500,10.5,highest_value
Draymond Green,GSW,3.4,426,10.4,highest_value
Al Horford,PHO,2,403,10,highest_value
