player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Cristopher Sanchez,PHI,6.8,,315,,13.6,highest_value
Tarik Skubal,DET,6.0,,2800,,12.1,highest_value
Trevor Rogers,BAL,5.9,,83,,11.8,highest_value
Garrett Crochet,BOS,5.8,,907,,11.6,highest_value
Joe Ryan,MIN,5.6,,43,,11.1,highest_value
Jose Soriano,LAA,5.6,,15,,11.1,highest_value
Chase DeLauter,CLE,5.3,,13,,10.6,highest_value
Andy Pages,LAD,5.3,,1,,10.6,highest_value
Brandon Lowe,PIT,5.1,,3,,10.2,highest_value
Alec Burleson,STL,5.0,,2,,10.1,highest_value
Kevin McGonigle,,4.9,,8,,9.8,highest_value
Andrew Abbott,CIN,4.6,,27,,9.2,highest_value
Dominic Canzone,SEA,4.3,,2,,8.6,highest_value
Jacob Misiorowski,MIL,4.2,,193,,8.4,highest_value
Hunter Brown,HOU,3.8,,3200,,,most_popular
Yoshinobu Yamamoto,LAD,3.2,,5400,,,most_popular
Mike Trout,LAA,3.2,,1300,,,most_popular
Logan Gilbert,SEA,2.2,,1600,,,most_popular
Shohei Ohtani,LAD,0.9,,4800,,,most_popular
Nathan Eovaldi,TEX,-0.2,,1400,,,most_popular
Jose Altuve,HOU,-0.3,,1500,,,most_popular
Freddie Freeman,LAD,-0.5,,3900,,,most_popular
Bryce Harper,PHI,-0.8,,2200,,,most_popular
Paul Skenes,PIT,-3.6,,6000,,,most_popular
