player_name,team,actual_rs,draft_count,actual_card_boost,avg_finish
Tarik Skubal,DET,6.0,6900,,1
Paul Skenes,PIT,-3.6,6000,,1
Yoshinobu Yamamoto,LAD,3.2,5400,,2
Garrett Crochet,BOS,5.8,5300,,3
Shohei Ohtani,LAD,0.9,4800,,1
Freddie Freeman,LAD,-0.5,3900,,1
Hunter Brown,HOU,3.8,3200,,5
Cristopher Sanchez,PHI,6.8,2300,,5
Bryce Harper,PHI,-0.8,2200,,3
Logan Gilbert,SEA,2.2,1600,,4
Jacob Misiorowski,MIL,4.2,1500,,4
Jose Altuve,HOU,-0.3,1500,,2
Nathan Eovaldi,TEX,-0.2,1400,,5
Mike Trout,LAA,3.2,1300,,4
