winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,bashomey,20.87,1,Max Fried,NYY,6.0,2.0,,2025-03-25
1,bashomey,20.87,2,Trent Grisham,NYY,2.0,1.8,,2025-03-25
1,bashomey,20.87,3,Austin Wells,NYY,1.2,1.6,,2025-03-25
1,bashomey,20.87,4,Ryan McMahon,NYY,2.2,1.4,,2025-03-25
1,bashomey,20.87,5,Rafael Devers,SF,0.1,1.2,,2025-03-25
2,christiangh,20.22,1,Max Fried,NYY,6.0,2.0,,2025-03-25
2,christiangh,20.22,2,Jazz Chisholm Jr.,NYY,0.9,1.8,,2025-03-25
2,christiangh,20.22,3,Ryan McMahon,NYY,2.2,1.6,,2025-03-25
2,christiangh,20.22,4,Trent Grisham,NYY,2.0,1.4,,2025-03-25
2,christiangh,20.22,5,Rafael Devers,SF,0.1,1.2,,2025-03-25
3,luckycharmz,20.10,1,Max Fried,NYY,6.0,2.0,,2025-03-25
3,luckycharmz,20.10,2,Trent Grisham,NYY,2.0,1.8,,2025-03-25
3,luckycharmz,20.10,3,Austin Wells,NYY,1.2,1.6,,2025-03-25
3,luckycharmz,20.10,4,Ryan McMahon,NYY,2.2,1.4,,2025-03-25
3,luckycharmz,20.10,5,Aaron Judge,NYY,-0.7,1.2,,2025-03-25
4,newyorkalltheway,19.84,1,Max Fried,NYY,6.0,2.0,,2025-03-25
4,newyorkalltheway,19.84,2,Trent Grisham,NYY,2.0,1.8,,2025-03-25
4,newyorkalltheway,19.84,3,Matt Chapman,SF,-0.2,1.6,,2025-03-25
4,newyorkalltheway,19.84,4,Austin Wells,NYY,1.2,1.4,,2025-03-25
4,newyorkalltheway,19.84,5,Ryan McMahon,NYY,2.2,1.2,,2025-03-25
