player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Tarik Skubal,DET,6900,6.0,,1,1,2026-04-01T00:00:00+00:00
Paul Skenes,PIT,6000,-3.6,,1,2,2026-04-01T00:00:00+00:00
Yoshinobu Yamamoto,LAD,5400,3.2,,2,3,2026-04-01T00:00:00+00:00
Garrett Crochet,BOS,5300,5.8,,3,4,2026-04-01T00:00:00+00:00
Shohei Ohtani,LAD,4800,0.9,,1,5,2026-04-01T00:00:00+00:00
Freddie Freeman,LAD,3900,-0.5,,1,6,2026-04-01T00:00:00+00:00
Hunter Brown,HOU,3200,3.8,,5,7,2026-04-01T00:00:00+00:00
Cristopher Sánchez,PHI,2300,6.8,,5,8,2026-04-01T00:00:00+00:00
Bryce Harper,PHI,2200,-0.8,,3,9,2026-04-01T00:00:00+00:00
Logan Gilbert,SEA,1600,2.2,,4,10,2026-04-01T00:00:00+00:00
Jacob Misiorowski,MIL,1500,4.2,,4,11,2026-04-01T00:00:00+00:00
Jose Altuve,HOU,1500,-0.3,,2,12,2026-04-01T00:00:00+00:00
Nathan Eovaldi,TEX,1400,-0.2,,5,13,2026-04-01T00:00:00+00:00
Mike Trout,LAA,1300,3.2,,4,14,2026-04-01T00:00:00+00:00
