player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Khris Middleton,,2,5.8,2.3,,1,2026-03-18T05:03:38.821274+00:00
Tristan da Silva,,36,4.6,2.6,,2,2026-03-18T05:03:38.821274+00:00
Luka Dončić,,2900,9.3,,,3,2026-03-18T05:03:38.821274+00:00
Jalen Green,,863,4.9,1.8,,4,2026-03-18T05:03:38.821274+00:00
Pelle Larsson,,12,4.6,2.0,,5,2026-03-18T05:03:38.821274+00:00
Zaccharie Risacher,,2,3.9,2.4,,6,2026-03-18T05:03:38.821274+00:00
Devin Booker,,152,6.7,0.5,,7,2026-03-18T05:03:38.821274+00:00
Spencer Jones,,3,3.7,3.0,,8,2026-03-18T05:03:38.821274+00:00
Josh Minott,,2,3.8,3.0,,9,2026-03-18T05:03:38.821274+00:00
Kasparas Jakucionis,,1,3.2,3.0,,10,2026-03-18T05:03:38.821274+00:00
Justin Edwards,,2,3.1,3.0,,11,2026-03-18T05:03:38.821274+00:00
Taylor Hendricks,,13,3.1,3.0,,12,2026-03-18T05:03:38.821274+00:00
Daniel Gafford,,8,3.6,2.2,,13,2026-03-18T05:03:38.821274+00:00
