date,home,away,home_score,away_score,winner,loser,winner_score,loser_score,total,spread,strategy_type,strategy_overlay
2026-01-06,IND,CLE,116,120,CLE,IND,120,116,236,4,balanced,
2026-01-06,WAS,ORL,120,112,WAS,ORL,120,112,232,8,standard,
2026-01-06,MEM,SAS,106,105,MEM,SAS,106,105,211,1,balanced,defensive_grind
2026-01-06,MIN,MIA,122,94,MIN,MIA,122,94,216,28,blowout,
2026-01-06,NOP,LAL,103,111,LAL,NOP,111,103,214,8,standard,defensive_grind
2026-01-06,SAC,DAL,98,100,DAL,SAC,100,98,198,2,balanced,defensive_grind
2026-01-07,CHA,TOR,96,97,TOR,CHA,97,96,193,1,balanced,defensive_grind
2026-01-07,DET,CHI,108,93,DET,CHI,108,93,201,15,blowout,defensive_grind
2026-01-07,PHI,WAS,131,110,PHI,WAS,131,110,241,21,blowout,
2026-01-07,BOS,DEN,110,114,DEN,BOS,114,110,224,4,balanced,
2026-01-07,ATL,NOP,117,100,ATL,NOP,117,100,217,17,blowout,
2026-01-07,BKN,ORL,103,104,ORL,BKN,104,103,207,1,balanced,defensive_grind
2026-01-07,NYK,LAC,123,111,NYK,LAC,123,111,234,12,standard,
2026-01-07,MEM,PHX,98,117,PHX,MEM,117,98,215,19,blowout,
2026-01-07,OKC,UTA,129,125,OKC,UTA,129,125,254,4,balanced,shootout
2026-01-07,SAS,LAL,107,91,SAS,LAL,107,91,198,16,blowout,defensive_grind
2026-01-07,GSW,MIL,120,113,GSW,MIL,120,113,233,7,standard,
2026-01-07,POR,HOU,103,102,POR,HOU,103,102,205,1,balanced,defensive_grind
2026-01-08,CHA,IND,112,114,IND,CHA,114,112,226,2,balanced,
2026-01-08,MIN,CLE,131,122,MIN,CLE,131,122,253,9,standard,shootout
2026-01-08,UTA,DAL,116,114,UTA,DAL,116,114,230,2,balanced,
2026-01-09,BOS,TOR,125,117,BOS,TOR,125,117,242,8,standard,
2026-01-09,ORL,PHI,91,103,PHI,ORL,103,91,194,12,standard,defensive_grind
2026-01-09,WAS,NOP,107,128,NOP,WAS,128,107,235,21,blowout,
2026-01-09,BKN,LAC,105,121,LAC,BKN,121,105,226,16,blowout,
2026-01-09,MEM,OKC,116,117,OKC,MEM,117,116,233,1,balanced,
2026-01-09,DEN,ATL,87,110,ATL,DEN,110,87,197,23,blowout,defensive_grind
2026-01-09,PHX,NYK,112,107,PHX,NYK,112,107,219,5,balanced,
2026-01-09,GSW,SAC,137,103,GSW,SAC,137,103,240,34,blowout,
2026-01-09,POR,HOU,111,105,POR,HOU,111,105,216,6,standard,
2026-01-09,LAL,MIL,101,105,MIL,LAL,105,101,206,4,balanced,defensive_grind
2026-01-10,CLE,MIN,146,134,CLE,MIN,146,134,280,12,standard,shootout
2026-01-10,IND,MIA,123,99,IND,MIA,123,99,222,24,blowout,
2026-01-10,DET,LAC,92,98,LAC,DET,98,92,190,6,standard,defensive_grind
2026-01-10,BOS,SAS,95,100,SAS,BOS,100,95,195,5,balanced,defensive_grind
2026-01-10,CHI,DAL,125,107,CHI,DAL,125,107,232,18,blowout,
2026-01-10,UTA,CHA,95,150,CHA,UTA,150,95,245,55,blowout,shootout
2026-01-11,ORL,NOP,128,118,ORL,NOP,128,118,246,10,standard,shootout
2026-01-11,MEM,BKN,103,98,MEM,BKN,103,98,201,5,balanced,defensive_grind
