date,home,away,home_score,away_score,winner,loser,winner_score,loser_score
2026-10-21,LAL,GS,109,119,GS,LAL,119,109
2026-10-21,HOU,OKC,124,125,OKC,HOU,125,124
2026-10-22,MEM,MIN,118,111,MEM,MIN,118,111
2026-10-22,DET,PHI,115,111,DET,PHI,115,111
2026-10-22,SAC,LAL,116,120,LAL,SAC,120,116
2026-10-22,NOP,LAC,122,128,LAC,NOP,128,122
2026-10-22,SA,GSW,125,92,SA,GSW,125,92
2026-10-22,WAS,MIL,120,133,MIL,WAS,133,120
2026-10-22,TOR,UTA,108,129,UTA,TOR,129,108
2026-10-22,CLE,BOS,111,117,BOS,CLE,117,111
2026-10-22,ATL,MIA,138,146,MIA,ATL,146,138
2026-10-22,CHI,NYK,118,119,NYK,CHI,119,118
2026-10-23,DEN,GS,131,137,GS,DEN,137,131
2026-10-23,OKC,IND,141,135,OKC,IND,141,135
2026-10-24,MIN,SA,110,128,SA,MIN,128,110
2026-10-24,LAL,LAC,128,102,LAL,LAC,128,102
2026-10-24,PHO,SAC,120,105,PHO,SAC,120,105
2026-10-24,DET,PHI,115,111,DET,PHI,115,111
2026-10-24,MIL,MIA,146,144,MIL,MIA,146,144
2026-10-24,MEM,GS,119,139,GS,MEM,139,119
2026-10-24,CLE,LAL,104,108,LAL,CLE,108,104
2026-10-24,NYK,SA,105,116,SA,NYK,116,105
2026-10-24,UTA,NYK,120,116,UTA,NYK,120,116
2026-10-25,PHO,NOP,111,133,NOP,PHO,133,111
2026-10-25,IND,DEN,103,128,DEN,IND,128,103
2026-10-25,OKC,MEM,117,100,OKC,MEM,117,100
2026-10-25,ATL,MIL,98,121,MIL,ATL,121,98
2026-10-25,ORL,NYK,125,110,ORL,NYK,125,110
2026-10-25,NYH,TON,117,100,NYH,TON,117,100
2026-10-27,DEN,OKC,127,101,DEN,OKC,127,101
2026-10-27,TOR,MIL,122,123,MIL,TOR,123,122
2026-10-27,LAL,LAC,108,118,LAC,LAL,118,108
2026-10-27,GS,UTA,131,127,GS,UTA,131,127
2026-10-27,MEM,HOU,134,138,HOU,MEM,138,134
2026-10-27,NYK,SA,103,116,SA,NYK,116,103
2026-10-27,BOS,WAS,122,109,BOS,WAS,122,109
2026-10-27,ATL,MIA,123,128,MIA,ATL,128,123
2026-10-27,CHI,DET,109,137,DET,CHI,137,109
