date,player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
2025-11-20,Bobby Portis,,3.1,2.8,88,1,14.9,highest_value
2025-11-20,David Jones-Garcia,,3.5,3.0,1,1,17.5,highest_value
2025-11-20,De'Aaron Fox,,5.5,0.5,746,1,13.7,highest_value
2025-11-20,Goga Bitadze,,2.7,2.8,19,1,12.8,highest_value
2025-11-20,Jalen Suggs,,4.6,1.6,38,1,16.4,highest_value
2025-11-20,Jeremy Sochan,,2.4,3.0,14,1,12.1,highest_value
2025-11-20,Jock Landale,,3.7,2.2,14,1,15.4,highest_value
2025-11-20,Julian Champagnie,,3.1,2.7,50,1,14.7,highest_value
2025-11-20,Keldon Johnson,,4.2,1.6,44,1,15.1,highest_value
2025-11-20,Luke Kennard,,2.4,3.0,3,1,12.1,highest_value
2025-11-20,Nickeil Alexander-Walker,,6.5,1.2,121,1,20.8,highest_value
2025-11-20,Paul George,,3.5,2.0,31,1,13.9,highest_value
2025-11-20,Ryan Rollins,,5.5,0.8,817,1,15.3,highest_value
2025-11-20,Santi Aldama,,5.0,1.6,81,1,18.1,highest_value
2025-11-20,Tristan da Silva,,2.7,2.0,68,1,10.8,highest_value
2025-11-20,Tyrese Maxey,,9.4,,6700,1,19.7,highest_value
2025-11-20,Vince Williams Jr.,,3.7,2.8,83,1,17.6,highest_value
2026-01-17,Anthony Edwards,,6.7,0.3,781,,15.5,highest_value
2026-01-17,Bam Adebayo,,5.2,0.8,31,,14.7,highest_value
2026-01-17,Brandin Podziemski,,4.1,1.6,31,,14.6,highest_value
2026-01-17,Brandon Williams,,3.7,2.0,26,,14.9,highest_value
2026-01-17,Caleb Love,,3.6,2.5,72,,16.1,highest_value
2026-01-17,De'Anthony Melton,,3.6,2.3,8,,15.5,highest_value
2026-01-17,Drew Timme,,3.6,3.0,1,,17.8,highest_value
2026-01-17,Dwight Powell,,3.1,3.0,3,,15.4,highest_value
