winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,bbl.daren,59.77,1,Donte DiVincenzo,MIN,4.3,2.0,1.3,2025-12-17T00:00:00
1,bbl.daren,59.77,2,Josh Giddey,CHI,5.0,1.8,0.4,2025-12-17T00:00:00
1,bbl.daren,59.77,3,Jock Landale,MEM,4.1,1.6,2.0,2025-12-17T00:00:00
1,bbl.daren,59.77,4,Jaylen Wells,MEM,3.2,1.4,1.9,2025-12-17T00:00:00
1,bbl.daren,59.77,5,Rudy Gobert,MIN,4.1,1.2,1.1,2025-12-17T00:00:00
2,sandies,59.69,1,Donte DiVincenzo,MIN,4.3,2.0,1.3,2025-12-17T00:00:00
2,sandies,59.69,2,Jock Landale,MEM,4.1,1.8,2.0,2025-12-17T00:00:00
2,sandies,59.69,3,Jaylen Wells,MEM,3.2,1.6,1.9,2025-12-17T00:00:00
2,sandies,59.69,4,Jaylon Tyson,CLE,3.3,1.4,1.2,2025-12-17T00:00:00
2,sandies,59.69,5,Jaren Jackson Jr.,MEM,4.3,1.2,1.2,2025-12-17T00:00:00
3,charliep12,59.30,1,Donte DiVincenzo,MIN,4.3,2.0,1.3,2025-12-17T00:00:00
3,charliep12,59.30,2,Jaylen Wells,MEM,3.2,1.8,1.9,2025-12-17T00:00:00
3,charliep12,59.30,3,Jock Landale,MEM,4.1,1.6,2.0,2025-12-17T00:00:00
3,charliep12,59.30,4,Bones Hyland,MIN,2.4,1.4,3.0,2025-12-17T00:00:00
3,charliep12,59.30,5,Isaac Okoro,CLE,1.9,1.2,3.0,2025-12-17T00:00:00
3,loganp_,59.30,1,Donte DiVincenzo,MIN,4.3,2.0,1.3,2025-12-17T00:00:00
3,loganp_,59.30,2,Jaylen Wells,MEM,3.2,1.8,1.9,2025-12-17T00:00:00
3,loganp_,59.30,3,Jock Landale,MEM,4.1,1.6,2.0,2025-12-17T00:00:00
3,loganp_,59.30,4,Bones Hyland,MIN,2.4,1.4,3.0,2025-12-17T00:00:00
3,loganp_,59.30,5,Isaac Okoro,CLE,1.9,1.2,3.0,2025-12-17T00:00:00
5,bakermayfieldlover911,59.26,1,Rudy Gobert,MIN,4.1,2.0,1.1,2025-12-17T00:00:00
5,bakermayfieldlover911,59.26,2,Jaylen Wells,MEM,3.2,1.8,1.9,2025-12-17T00:00:00
5,bakermayfieldlover911,59.26,3,Jock Landale,MEM,4.1,1.6,2.0,2025-12-17T00:00:00
5,bakermayfieldlover911,59.26,4,Nikola Vucevic,CHI,4.2,1.4,0.9,2025-12-17T00:00:00
5,bakermayfieldlover911,59.26,5,Jaren Jackson Jr.,MEM,4.3,1.2,1.2,2025-12-17T00:00:00
6,colly66,59.11,1,Rudy Gobert,MIN,4.1,2.0,1.1,2025-12-17T00:00:00
6,colly66,59.11,2,Donte DiVincenzo,MIN,4.3,1.8,1.3,2025-12-17T00:00:00
6,colly66,59.11,3,Jock Landale,MEM,4.1,1.6,2.0,2025-12-17T00:00:00
6,colly66,59.11,4,Jaylen Wells,MEM,3.2,1.4,1.9,2025-12-17T00:00:00
6,colly66,59.11,5,Jaylon Tyson,CLE,3.3,1.2,1.2,2025-12-17T00:00:00
7,richiepokrywka,58.70,1,Jock Landale,MEM,4.1,2.0,2.0,2025-12-17T00:00:00
7,richiepokrywka,58.70,2,Jaylen Wells,MEM,3.2,1.8,1.9,2025-12-17T00:00:00
7,richiepokrywka,58.70,3,Donte DiVincenzo,MIN,4.3,1.6,1.3,2025-12-17T00:00:00
7,richiepokrywka,58.70,4,Rudy Gobert,MIN,4.1,1.4,1.1,2025-12-17T00:00:00
7,richiepokrywka,58.70,5,Jaylon Tyson,CLE,3.3,1.2,1.2,2025-12-17T00:00:00
8,ared02,58.64,1,Jock Landale,MEM,4.1,2.0,2.0,2025-12-17T00:00:00
8,ared02,58.64,2,Nikola Vucevic,CHI,4.2,1.8,0.9,2025-12-17T00:00:00
8,ared02,58.64,3,Josh Giddey,CHI,5.0,1.6,0.4,2025-12-17T00:00:00
8,ared02,58.64,4,Donte DiVincenzo,MIN,4.3,1.4,1.3,2025-12-17T00:00:00
8,ared02,58.64,5,Rudy Gobert,MIN,4.1,1.2,1.1,2025-12-17T00:00:00
