rank,username,total_value,player_name,real_score,card_boost,slot_multiplier
1,mo2734,71.34,D. DeRozan,4.4,1.0,2.0
1,mo2734,71.34,R. Westbrook,4.1,1.1,1.8
1,mo2734,71.34,M. Raynaud,3.8,2.1,1.6
1,mo2734,71.34,P. Achiuwa,5.1,2.2,1.4
1,mo2734,71.34,D. Plowden,3.3,3.0,1.2
2,iamjamorant,70.77,R. Westbrook,4.1,1.1,2.0
2,iamjamorant,70.77,P. Achiuwa,5.1,2.2,1.8
2,iamjamorant,70.77,M. Raynaud,3.8,2.1,1.6
2,iamjamorant,70.77,D. Plowden,3.3,3.0,1.4
2,iamjamorant,70.77,N. Clifford,2.1,3.0,1.2
3,comeione,70.27,R. Westbrook,4.1,1.1,2.0
3,comeione,70.27,M. Raynaud,3.8,2.1,1.8
3,comeione,70.27,P. Achiuwa,5.1,2.2,1.6
3,comeione,70.27,N. Clifford,2.1,3.0,1.4
3,comeione,70.27,D. Plowden,3.3,3.0,1.2
4,mets09,69.71,L. Doncic,6.1,0.0,2.0
4,mets09,69.71,M. Raynaud,3.8,2.1,1.8
4,mets09,69.71,P. Achiuwa,5.1,2.2,1.6
4,mets09,69.71,N. Clifford,2.1,3.0,1.4
4,mets09,69.71,D. Plowden,3.3,3.0,1.2
5,octogon,69.36,M. Raynaud,3.8,2.1,2.0
5,octogon,69.36,P. Achiuwa,5.1,2.2,1.8
5,octogon,69.36,N. Clifford,2.1,3.0,1.6
5,octogon,69.36,J. Edwards,3.4,3.0,1.4
5,octogon,69.36,A. Bona,2.1,3.0,1.2
6,dutt,69.07,N. Jokic,6.4,0.0,2.0
6,dutt,69.07,J. Tatum,4.6,0.9,1.8
6,dutt,69.07,P. Achiuwa,5.1,2.2,1.6
6,dutt,69.07,Q. Grimes,3.8,1.7,1.4
6,dutt,69.07,M. Raynaud,3.8,2.1,1.2
